x,y,mean_flat_probability,residual_rms,residual_std,mean_abs_residual
1856,64,0.9186850033376976,0.005810197452406267,0.005810197452406267,0.004608824032843763
1920,64,0.923349184201745,0.0058891569183427885,0.0058891569183427885,0.0046920637957542245
0,128,0.9471028529001295,0.005868777493813008,0.005868777493813008,0.004674683709949621
64,128,0.9349651303321731,0.006020662278826915,0.006020662278826915,0.004789337696076407
128,128,0.9397309072306659,0.005956479296797975,0.005956479296797975,0.004728899866836266
192,128,0.9463001978143477,0.005958048574679458,0.005958048574679458,0.004738303532104625
256,128,0.9401917622709741,0.0060149146202124505,0.0060149146202124505,0.004804023729105803
320,128,0.9485100562933673,0.005941197358595131,0.005941197358595131,0.0047479686467867405
384,128,0.9545982269044779,0.0059711568569980914,0.0059711568569980914,0.004763581069658193
448,128,0.9504384984184526,0.00599789677354192,0.00599789677354192,0.00478943183710572
512,128,0.9502060485650119,0.005930601227020512,0.005930601227020512,0.004741057883498762
576,128,0.9521636105130078,0.0058137458857118835,0.0058137458857118835,0.004630057028005542
640,128,0.9508372494564601,0.00583796601163085,0.00583796601163085,0.0046388274816184134
704,128,0.9441422640801052,0.005983988921062168,0.005983988921062168,0.004763697022786643
768,128,0.9482362599333372,0.006020052742786165,0.006020052742786165,0.004794524818910793
832,128,0.9549440720407002,0.005991156592886591,0.005991156592886591,0.004756019484111538
896,128,0.9625772148584782,0.005986943014960127,0.005986943014960127,0.004761990309824429
960,128,0.9631571722068519,0.006023475007444564,0.006023475007444564,0.0048128750282243945
1024,128,0.9558615887549236,0.0059757739111885744,0.0059757739111885744,0.004763134999753323
1088,128,0.9507906508640503,0.0059007368670595224,0.0059007368670595224,0.0046917193512802016
1152,128,0.9523471402571755,0.005871151789344942,0.005871151789344942,0.0046870255240372
1216,128,0.9562963220815761,0.005613696804128881,0.005613696804128881,0.004449588812048957
1280,128,0.9363893225247811,0.005622596302850584,0.005622596302850584,0.00440922459077912
1344,128,0.9326187687712924,0.005818455705390685,0.005818455705390685,0.004593675286035397
1408,128,0.9507606072672993,0.005896445306442052,0.005896445306442052,0.004689542971457145
1472,128,0.9372396158538991,0.0058440996364202994,0.0058440996364202994,0.004620112223421129
1536,128,0.9225081301361682,0.005889296038364415,0.005889296038364415,0.00465927789011778
1600,128,0.9292624810278164,0.006085717880082878,0.006085717880082878,0.004860664127288722
1664,128,0.9327838130101921,0.005986629525563809,0.005986629525563809,0.004790404772927772
1728,128,0.9319710702601802,0.005873234724183895,0.005873234724183895,0.004682314853481334
1792,128,0.9306184345040381,0.005667251034965985,0.005667251034965985,0.004481024765834144
1856,128,0.9304991765079744,0.005581322281574221,0.005581322281574221,0.004410467431083799
1920,128,0.9391846321288564,0.005604541262687037,0.005604541262687037,0.004435012573223396
0,192,0.9413443367426415,0.005828162893817962,0.005828162893817962,0.004638678291098488
64,192,0.9442945779911331,0.0060807397001038065,0.0060807397001038065,0.00483687759432167
128,192,0.94665976020165,0.006102079270798306,0.006102079270798306,0.004851381283984647
192,192,0.9376708300968305,0.00616201468977848,0.00616201468977848,0.00489960035336879
256,192,0.9381425017724948,0.006181675991962001,0.006181675991962001,0.004927755228763405
320,192,0.9548550105065363,0.006150727176226565,0.006150727176226565,0.004925592000381203
384,192,0.9611789377355637,0.006146657877315408,0.006146657877315408,0.004909167513806262
448,192,0.9469365092566118,0.006038438883075115,0.006038438883075115,0.004813909096459257
512,192,0.942363045459454,0.005662425330589252,0.005662425330589252,0.004460063559810955
576,192,0.9481077000301579,0.005709196798461042,0.005709196798461042,0.004497361453658554
640,192,0.9478931209862989,0.006072273590965994,0.006072273590965994,0.004840548186377028
704,192,0.9490089994376459,0.006103869942268453,0.006103869942268453,0.004863004785145494
768,192,0.8861690121857352,0.017954676021274214,0.017954676021274214,0.008449567143723606
1024,192,0.7922740556179141,0.03325597483327514,0.03325597483327514,0.0154690450689423
1088,192,0.8391505171058182,0.028044570959105616,0.028044570959105616,0.012431044658612788
1152,192,0.8954390220013071,0.01966135302693611,0.01966135302693611,0.008345537838711042
1216,192,0.9253836754101038,0.007612219330459073,0.007612219330459073,0.004918826224749895
1280,192,0.8936142085356084,0.006158843478925865,0.006158843478925865,0.004834635854138347
1344,192,0.8835867324898531,0.006365737130693873,0.006365737130693873,0.005028581379117052
1408,192,0.9178121190913087,0.006146495522281984,0.006146495522281984,0.0048712327432749395
1472,192,0.9446777106477336,0.00596478562592599,0.00596478562592599,0.004725984737791357
1536,192,0.9494041286774093,0.005900748145953974,0.005900748145953974,0.004678855967312755
1600,192,0.9473220381207557,0.0060115718034283346,0.0060115718034283346,0.00478024657155772
1664,192,0.9291384708768164,0.006058581128887739,0.006058581128887739,0.004805096381831546
1728,192,0.9112371823116506,0.006010113478902256,0.006010113478902256,0.004749694674206205
1792,192,0.9111736465131268,0.005830696832773612,0.005830696832773612,0.004566701852242177
1856,192,0.9038735246834397,0.0059074627827530694,0.0059074627827530694,0.004622666535650749
1920,192,0.9249462581724731,0.005721651613509102,0.005721651613509102,0.00448855883321208
0,256,0.9430524582107841,0.005874300259865222,0.005874300259865222,0.00467270120332857
64,256,0.9462890404631079,0.0060256153123509635,0.0060256153123509635,0.004784091487230215
128,256,0.9342595377911004,0.006005535560334773,0.006005535560334773,0.004756063647740094
192,256,0.9193893042581405,0.006041454508777112,0.006041454508777112,0.004778758894846611
256,256,0.9216137925117445,0.006245675586321107,0.006245675586321107,0.004953022441241922
320,256,0.9380243713153866,0.00626912759301142,0.00626912759301142,0.00499043484927928
384,256,0.9470119234941722,0.006068083602453018,0.006068083602453018,0.0048256460548596015
448,256,0.9401634155820913,0.0059018191845788635,0.0059018191845788635,0.004681122733036931
512,256,0.943622221604778,0.005376949988654256,0.005376949988654256,0.004175814603664495
576,256,0.9406363034738363,0.005529844385443689,0.005529844385443689,0.004284045509736196
640,256,0.9367646820430622,0.00609663247449411,0.00609663247449411,0.004842682872721705
704,256,0.9318429033082682,0.01042258999451246,0.01042258999451246,0.0057089494304649446
1408,256,0.8661019732400654,0.010324675243445477,0.010324675243445477,0.006486318589732202
1472,256,0.9354772577344815,0.0066203951891456855,0.0066203951891456855,0.005017469957923594
1536,256,0.9494833202937342,0.005925311231938256,0.005925311231938256,0.004708105747917066
1600,256,0.9406764894186096,0.0058581446551291836,0.0058581446551291836,0.004659793547011827
1664,256,0.9122592223187163,0.0061278352315590435,0.0061278352315590435,0.004832955466758377
1728,256,0.8778184427558438,0.006271076366214431,0.006271076366214431,0.004910756268975332
1792,256,0.8719527080395617,0.00613910839441017,0.00613910839441017,0.004797017364461302
1856,256,0.8720574310741487,0.0062342415100315905,0.0062342415100315905,0.004895759742551815
1920,256,0.8958443884190861,0.005871499459726621,0.005871499459726621,0.004600720068351644
0,320,0.9334271289771927,0.005972172799606968,0.005972172799606968,0.004743346551100059
64,320,0.9320594440203475,0.005997299615947981,0.005997299615947981,0.004765423274332177
128,320,0.9310516271347034,0.005808103174244707,0.005808103174244707,0.004590674381120961
192,320,0.9378031524682197,0.005797442457590162,0.005797442457590162,0.004595230932281813
256,320,0.9284901740260703,0.0062048482246819065,0.0062048482246819065,0.004951379798765327
320,320,0.9262037614177343,0.006249359526482491,0.006249359526482491,0.00495606713269946
384,320,0.9332739933915686,0.006099082543024562,0.006099082543024562,0.004831020225689986
448,320,0.9384019000219712,0.006043545051608442,0.006043545051608442,0.004801485410677895
512,320,0.948677942722561,0.00582276891310415,0.005822768913104151,0.004578219038553306
576,320,0.9446860961736476,0.005816532451237527,0.005816532451237527,0.004564473448634424
640,320,0.9421107216671208,0.005992065887339726,0.005992065887339726,0.004749939820864673
704,320,0.9096255391078927,0.014462403098837773,0.014462403098837773,0.007450080023199787
1472,320,0.8068852096735403,0.014830623201555258,0.014830623201555258,0.009221027191205305
1536,320,0.9171225422347232,0.007351037926442827,0.007351037926442827,0.005287868862846304
1600,320,0.9001481373040728,0.006038229214376744,0.006038229214376744,0.0047808988302790595
1664,320,0.876587545543964,0.006220893597314477,0.006220893597314477,0.004877917032920374
1728,320,0.8766242976781865,0.00628917216329104,0.00628917216329104,0.004910807208023232
1792,320,0.8867790997782878,0.006032092651523989,0.006032092651523989,0.00470330980983324
1856,320,0.8970298544713518,0.005945428521751094,0.005945428521751094,0.004598476000669806
1920,320,0.8949586089100285,0.005720431739347325,0.005720431739347325,0.004404459935400575
0,384,0.9193252027267317,0.005865577129964247,0.005865577129964247,0.004613339109636832
64,384,0.9225946304875404,0.005849091148935247,0.005849091148935247,0.004619261002624367
128,384,0.9328727949937066,0.005749896355663834,0.005749896355663834,0.004557246802543822
192,384,0.9420679497898277,0.005735330046183372,0.005735330046183372,0.004551156584245428
256,384,0.9294359712874491,0.006134847213175489,0.006134847213175489,0.004896305178727177
320,384,0.9256127887016069,0.006193377539495466,0.006193377539495466,0.004908960293054939
384,384,0.9276291837205186,0.006214445278768275,0.006214445278768275,0.004897432181040107
